Chromosome,-log10(P-value),Log2 Fold Change,Gene,Ensembl ID
chr19,84.925,4.769,CIRBP,ENSG00000099622.14_7
chr19,400.0,4.768,RPS19,ENSG00000105372.8_6
chr14,9.222,4.768,DAD1,ENSG00000129562.11_4
chr8,64.343,4.766,PABPC1,ENSG00000070756.16_7
chr8,39.7,4.76,RPL30,ENSG00000156482.11_4
chr13,5.446,4.759,UBL3,ENSG00000122042.10_4
chr4,20.5,4.753,MAEA,ENSG00000090316.16_4
chr10,18.523,4.752,FAM171A1,ENSG00000148468.17_4
chr12,4.398,4.747,BRI3BP,ENSG00000184992.13_6
chr21,6.94,4.744,APP,ENSG00000142192.21_7
chr6,33.692,4.743,H4C3,ENSG00000197061.4_3
chr5,8.406,4.742,DROSHA,ENSG00000113360.16_5
chr10,9.163,4.741,BLOC1S2,ENSG00000196072.12_6
chr2,16.623,4.733,GORASP2,ENSG00000115806.13_3
chr19,6.486,4.73,ZNF507,ENSG00000168813.17_4
chr5,7.716,4.726,DROSHA,ENSG00000113360.16_5
chr7,8.066,4.719,GET4,ENSG00000239857.7_6
chr16,9.509,4.713,CYB5B,ENSG00000103018.17_6
chr6,29.823,4.713,CD164,ENSG00000135535.17_6
chr12,5.185,4.709,ADIPOR2,ENSG00000006831.10_3
chr10,11.338,4.706,FAM171A1,ENSG00000148468.17_4
chr8,6.486,4.705,SLC7A2,ENSG00000003989.17_6
chr9,25.27,4.7,SNORD36C,ENSG00000252542.1
chr8,7.004,4.7,WWP1,ENSG00000123124.14_3
chr6,5.707,4.7,PERP,ENSG00000112378.12_4
chr13,17.986,4.699,IRS2,ENSG00000185950.9_4
chr12,10.018,4.693,DYNLL1,ENSG00000088986.11_5
chr4,8.617,4.692,SLC30A9,ENSG00000014824.14_4
chr3,24.161,4.687,NT5DC2,ENSG00000168268.11_4
chr11,7.004,4.686,JAM3,ENSG00000166086.13_4
chr1,19.322,4.686,MRPL37,ENSG00000116221.15_2
chr17,23.064,4.684,SNHG16,ENSG00000163597.15_3
chr19,12.003,4.682,ARHGEF18|AC008878.3,ENSG00000104880.18_4||ENSG00000268861.7_7
chr4,5.707,4.676,NSD2,ENSG00000109685.18_5
chr9,23.062,4.675,MAPKAP1,ENSG00000119487.17_7
chr6,47.908,4.674,H4C5,ENSG00000276966.2_3
chr16,5.446,4.671,UBE2I,ENSG00000103275.20_4
chr16,8.066,4.67,UNKL,ENSG00000059145.18_5
chr18,14.514,4.668,PIAS2,ENSG00000078043.16_8
chr4,7.79,4.667,USP46,ENSG00000109189.13_5
chr10,9.706,4.667,TCF7L2,ENSG00000148737.17_7
chr19,65.59,4.664,RPS19,ENSG00000105372.8_6
chr3,21.045,4.663,NT5DC2,ENSG00000168268.11_4
chr19,59.026,4.661,RPS19,ENSG00000105372.8_6
chr4,15.999,4.653,MAEA,ENSG00000090316.16_4
chr6,39.878,4.653,HIST1H4B,ENSG00000124529.3
chr19,8.066,4.653,,
chr5,6.94,4.65,ETF1,ENSG00000120705.13_5
chr12,3.872,4.639,HMGA2,ENSG00000149948.13_7
chr18,20.674,4.638,RPL6P27,ENSG00000235552.4_5
chr18,20.674,4.638,RPL6P27,ENSG00000235552.4_5
chr18,20.674,4.638,RPL6P27,ENSG00000235552.4_5
chr11,12.941,4.636,AC116533.1,ENSG00000244398.1_5
chr10,9.764,4.634,FAM171A1,ENSG00000148468.17_4
chr11,4.923,4.634,B4GAT1,ENSG00000174684.7_4
chr12,5.64,4.633,GLTP,ENSG00000139433.10_5
chr18,20.419,4.631,RPL6P27,ENSG00000235552.4_5
chr21,14.545,4.63,RRP1B,ENSG00000160208.13_3
chr1,13.621,4.621,DDOST,ENSG00000244038.9_6
chr12,10.272,4.618,BRI3BP,ENSG00000184992.13_6
chr2,8.891,4.613,NCKAP1,ENSG00000061676.15_5
chr5,7.675,4.609,MARCHF6,ENSG00000145495.16_5
chr17,23.068,4.608,SYNGR2,ENSG00000108639.7_5
chr1,26.001,4.604,ENAH,ENSG00000154380.17_6
chr8,13.73,4.601,TRAM1,ENSG00000067167.8_4
chr17,6.94,4.598,RAB40B,ENSG00000141542.11_4
chr6,25.634,4.597,TXNDC5,ENSG00000239264.9_5
chr16,5.185,4.594,UBE2I,ENSG00000103275.20_4
chr15,12.961,4.593,SCAMP2,ENSG00000140497.16_5
chr6,21.436,4.592,RPL15P3,ENSG00000212802.4_2
chr17,6.421,4.591,MAP2K4,ENSG00000065559.15_4
chr8,19.851,4.585,CNOT7,ENSG00000198791.12_4
chr5,44.122,4.581,HNRNPA0,ENSG00000177733.7_4
chr8,7.004,4.579,ENTPD4,ENSG00000197217.13_6
chr22,18.742,4.576,NUP50,ENSG00000093000.19_4
chr3,6.745,4.572,GSK3B,ENSG00000082701.15_6
chr2,12.894,4.572,PPP4R3B,ENSG00000275052.5_6
chr8,12.919,4.568,,
chr6,20.419,4.56,ADCY10P1,ENSG00000161912.18_4
chr14,17.791,4.56,RPS29,ENSG00000213741.10_6
chr1,10.526,4.557,AL450998.1,ENSG00000178715.8_5
chr13,12.632,4.555,IRS2,ENSG00000185950.9_4
chr1,19.761,4.552,FBXO28,ENSG00000143756.12_3
chr7,11.578,4.552,HOXA13,ENSG00000106031.9_7
chr1,6.16,4.551,GALNT2,ENSG00000143641.10_3
chr19,60.678,4.548,RPS19,ENSG00000105372.8_6
chr10,12.984,4.546,NUDT5,ENSG00000165609.13_5
chr17,11.068,4.544,SNHG16,ENSG00000163597.15_3
chr2,4.661,4.543,ATRAID,ENSG00000138085.16_7
chr8,11.75,4.542,JPH1,ENSG00000104369.5_4
chr8,58.494,4.539,PABPC1,ENSG00000070756.16_7
chr15,13.73,4.537,TSPAN3,ENSG00000140391.15_5
chr12,12.41,4.531,BRI3BP,ENSG00000184992.13_6
chr12,8.163,4.531,PTPN11,ENSG00000179295.17_3
chr8,9.961,4.53,AGPAT5,ENSG00000155189.12_5
chr12,8.066,4.529,TUBA1C,ENSG00000167553.15_3
chr11,8.617,4.529,JAM3,ENSG00000166086.13_4
chr19,19.768,4.528,ZNF90|AC011447.1,ENSG00000213988.11_4||ENSG00000224864.4_5
chr7,9.976,4.527,HIPK2,ENSG00000064393.16_5
chr19,68.855,4.527,RPS19,ENSG00000105372.8_6
chr5,30.942,4.521,CANX,ENSG00000127022.15_7
chr6,8.487,4.516,RPS17P5,ENSG00000060303.5_2
chr12,5.379,4.514,ANKLE2,ENSG00000176915.15_4
chr3,8.999,4.514,SLC33A1,ENSG00000169359.16_7
chr17,10.065,4.514,USP22,ENSG00000124422.12_6
chr14,6.942,4.511,BTBD7,ENSG00000011114.15_7
chr3,7.004,4.51,WDR82,ENSG00000164091.12_4
chr12,19.587,4.509,CCND2,ENSG00000118971.8_5
chr7,13.468,4.508,CNOT4,ENSG00000080802.18_4
chr6,4.661,4.506,ADCY10P1,ENSG00000161912.18_4
chr17,5.64,4.505,SKA2,ENSG00000182628.13_4
chr8,20.5,4.503,RPS20|SNORD54,ENSG00000008988.9_3||ENSG00000238650.1
chr12,7.512,4.501,BRI3BP,ENSG00000184992.13_6
chr10,19.393,4.497,HELLS,ENSG00000119969.15_4
chr2,9.764,4.494,ATP5MC3,ENSG00000154518.9_4
chr6,29.672,4.492,H4C5,ENSG00000276966.2_3
chr20,30.566,4.491,RPS21,ENSG00000171858.18_3
chr6,83.051,4.491,H4C5,ENSG00000276966.2_3
chr6,27.102,4.489,TXNDC5,ENSG00000239264.9_5
chr1,4.135,4.487,RPL22,ENSG00000116251.11_6
chr21,4.923,4.484,RCAN1,ENSG00000159200.18_4
chr11,5.379,4.48,NCAPD3,ENSG00000151503.12_5
chr6,4.661,4.479,ADCY10P1,ENSG00000161912.18_4
chr8,7.199,4.479,TNFRSF10D,ENSG00000173530.6_4
chrX,7.52,4.479,MTMR1,ENSG00000063601.17_6
chr19,64.122,4.478,RPS16,ENSG00000105193.9_4
chr8,6.16,4.477,SLC7A2,ENSG00000003989.17_6
chr6,6.745,4.475,SSR1,ENSG00000124783.14_6
chr7,7.716,4.473,TMEM248,ENSG00000106609.16_4
chr6,4.398,4.472,REV3L,ENSG00000009413.16_5
chr10,17.721,4.468,FAM171A1,ENSG00000148468.17_4
chr9,6.486,4.462,GCNT1,ENSG00000187210.14_5
chr6,9.445,4.462,H2AC13,ENSG00000196747.4_3
chr12,3.346,4.46,TMED2,ENSG00000086598.11_3
chr6,40.614,4.46,HIST1H4B,ENSG00000124529.3
chr5,7.433,4.459,NKX2-5,ENSG00000183072.10_6
chr8,10.601,4.457,CNOT7,ENSG00000198791.12_4
chr5,4.923,4.456,LIFR,ENSG00000113594.10_5
chrX,5.446,4.456,IRAK1,ENSG00000184216.14_9
chr3,6.745,4.45,EIF1B,ENSG00000114784.4_3
chr13,19.211,4.448,IRS2,ENSG00000185950.9_4
chr21,31.478,4.442,GET1,ENSG00000182093.16_6
chr10,5.185,4.442,TCF7L2,ENSG00000148737.17_7
chr7,8.066,4.442,TMEM168,ENSG00000146802.13_5
chr6,8.066,4.442,TMEM30A,ENSG00000112697.17_5
chr1,16.821,4.442,FBXO28,ENSG00000143756.12_3
chr10,9.961,4.438,ZMYND11,ENSG00000015171.19_3
chr3,4.135,4.437,CEP97,ENSG00000182504.11_4
chr9,7.262,4.437,FNBP1,ENSG00000187239.17_5
chr17,9.163,4.437,RETREG3,ENSG00000141699.11_8
chr7,7.199,4.434,MTPN,ENSG00000105887.11_5
chr4,7.199,4.434,ELOVL6,ENSG00000170522.9_3
chr16,3.609,4.434,SALL1,ENSG00000103449.12_4
chr8,6.745,4.43,DERL1,ENSG00000136986.10_4
chr1,15.909,4.43,ATP6V0B,ENSG00000117410.14_4
chr6,15.909,4.429,TXNDC5,ENSG00000239264.9_5
chr6,4.411,4.427,RNGTT,ENSG00000111880.16_4
chr1,14.058,4.426,RYR2,ENSG00000198626.17_6
chr13,3.872,4.425,UBL3,ENSG00000122042.10_4
chrX,4.397,4.425,,
chrX,4.397,4.425,,
chr7,4.661,4.424,ABCF2,ENSG00000033050.9_5
chr11,5.801,4.423,TMX2,ENSG00000213593.10_4
chr1,8.999,4.422,AL450998.1,ENSG00000178715.8_5
chr17,4.398,4.419,KLHL11,ENSG00000178502.6_4
chr9,7.974,4.419,GNAQ,ENSG00000156052.11_6
chr3,4.398,4.419,EIF1B,ENSG00000114784.4_3
chr5,4.398,4.419,FAF2,ENSG00000113194.13_4
chr17,8.926,4.411,CRK,ENSG00000167193.8_4
chr5,3.609,4.411,hsa-mir-2277,MI0011284
chr3,5.718,4.409,GPX1,ENSG00000233276.5_7
chr14,15.276,4.407,DAD1,ENSG00000129562.11_4
chr17,19.601,4.405,USP22,ENSG00000124422.12_6
chr11,4.898,4.401,B4GAT1,ENSG00000174684.7_4
chr2,6.227,4.4,LAPTM4A,ENSG00000068697.7_4
chr18,5.386,4.4,B4GALT6,ENSG00000118276.11_3
chr12,10.475,4.397,SLC38A1,ENSG00000111371.16_5
chr11,4.923,4.396,ALG8,ENSG00000159063.13_6
chr1,5.446,4.39,EFHD2,ENSG00000142634.13_3
chr4,8.487,4.387,SLC30A9,ENSG00000014824.14_4
chr8,3.609,4.386,REEP4,ENSG00000168476.12_5
chrX,9.764,4.385,HNRNPH2,ENSG00000126945.9_4
chr1,17.305,4.381,RAB4A,ENSG00000168118.12_4
chr14,11.149,4.38,BTBD7,ENSG00000011114.15_7
chr1,32.048,4.376,FBXO28,ENSG00000143756.12_3
chr1,6.266,4.374,GNB1,ENSG00000078369.18_4
chr5,4.655,4.373,MARCHF6,ENSG00000145495.16_5
chr7,4.655,4.373,DPY19L1,ENSG00000173852.14_5
chr5,32.026,4.373,HNRNPA0,ENSG00000177733.7_4
chr17,7.512,4.37,WDR45B,ENSG00000141580.16_5
chr19,19.016,4.369,PRKACA,ENSG00000072062.14_4
chr2,11.047,4.368,SATB2,ENSG00000119042.17_4
chr1,14.514,4.368,UQCRH,ENSG00000173660.12_3
chr8,14.235,4.367,CNOT7,ENSG00000198791.12_4
chr7,4.898,4.365,LMTK2,ENSG00000164715.6_3
chr18,17.721,4.363,TXNL4A,ENSG00000141759.15_4
chr15,3.609,4.361,GABRB3,ENSG00000166206.15_7
chr5,4.398,4.361,PANK3,ENSG00000120137.7_5
chr20,7.79,4.358,APMAP,ENSG00000101474.12_5
chr1,48.65,4.355,RPL5,ENSG00000122406.14_5
chr11,21.235,4.354,SNORD15B,ENSG00000207445.1
chr16,6.664,4.354,ZDHHC7,ENSG00000153786.12_6
chr6,9.105,4.353,SSR1,ENSG00000124783.14_6
chr20,27.653,4.353,RPS21,ENSG00000171858.18_3
chr12,3.107,4.351,PABPC1P4,ENSG00000255642.1_4
chr2,13.013,4.351,AGAP1,ENSG00000157985.19_5
chr12,8.744,4.351,ANKLE2,ENSG00000176915.15_4
chr19,18.111,4.349,PTBP1,ENSG00000011304.20_7
chr2,15.495,4.349,GORASP2,ENSG00000115806.13_3
chr2,4.661,4.348,SP9,ENSG00000217236.2_4
chr6,32.392,4.348,H4C5,ENSG00000276966.2_3
chrX,3.872,4.347,KLHL15,ENSG00000174010.9_3
chr14,10.797,4.345,NPC2,ENSG00000119655.10_5
chr5,24.71,4.345,HNRNPA0,ENSG00000177733.7_4
chr7,5.185,4.344,CUX1,ENSG00000257923.11_6
chr7,18.617,4.342,MTPN,ENSG00000105887.11_5
chr19,45.176,4.341,LMNB2,ENSG00000176619.13_6
chr10,8.342,4.338,BMI1,ENSG00000168283.14_5
chrX,5.551,4.337,TBL1X,ENSG00000101849.17_7
chr15,13.715,4.337,IGF1R,ENSG00000140443.15_6
chr8,25.45,4.334,MTDH,ENSG00000147649.10_5
chr9,24.012,4.332,MAPKAP1,ENSG00000119487.17_7
chr22,4.168,4.33,NUP50,ENSG00000093000.19_4
chr8,42.077,4.33,CNOT7,ENSG00000198791.12_4
chr2,4.168,4.33,ATRAID,ENSG00000138085.16_7
chr2,28.927,4.328,FAM168B,ENSG00000152102.18_4
chr6,7.458,4.327,H4C8,ENSG00000158406.4_4
chr12,8.231,4.326,CDK2AP1,ENSG00000111328.7_8
chr16,4.135,4.326,INO80E,ENSG00000169592.15_6
chr14,13.981,4.325,DICER1,ENSG00000100697.14_5
chr14,12.003,4.324,BTBD7,ENSG00000011114.15_7
chr7,3.872,4.318,GRB10,ENSG00000106070.19_6
chr2,11.068,4.317,BZW1,ENSG00000082153.18_5
chr6,25.044,4.313,TXNDC5,ENSG00000239264.9_5
chr2,14.592,4.313,RPLP0P6,ENSG00000213553.4_4
chr15,19.402,4.313,HACD3,ENSG00000074696.13_4
chr10,4.923,4.313,GTPBP4,ENSG00000107937.19_3
chr19,30.021,4.311,HNRNPUL1,ENSG00000105323.17_5
chr12,16.24,4.309,PPP1CC,ENSG00000186298.12_5
chr5,3.609,4.308,YIPF5,ENSG00000145817.17_4
chr14,3.609,4.308,YLPM1,ENSG00000119596.18_6
chr6,34.426,4.305,H4C5,ENSG00000276966.2_3
chr7,5.9,4.303,CUX1,ENSG00000257923.11_6
chr7,8.215,4.302,HOXA13,ENSG00000106031.9_7
chr5,21.973,4.3,HNRNPA0,ENSG00000177733.7_4
chr8,9.445,4.299,TNFRSF10D,ENSG00000173530.6_4
chr10,16.43,4.298,TM9SF3,ENSG00000077147.16_7
chr1,10.018,4.298,,
chr3,4.135,4.295,GSK3B,ENSG00000082701.15_6
chr8,3.346,4.294,ENTPD4,ENSG00000197217.13_6
chr12,3.346,4.294,TMTC3,ENSG00000139324.12_6
chr6,13.468,4.291,TMEM30A,ENSG00000112697.17_5
chr17,23.068,4.29,USP22,ENSG00000124422.12_6
chr9,4.397,4.289,TGFBR1,ENSG00000106799.13_4
chr9,6.697,4.289,PBX3,ENSG00000167081.18_5
chr1,15.745,4.289,ATP6V0B,ENSG00000117410.14_4
chr8,9.163,4.289,SLC7A2,ENSG00000003989.17_6
chr6,7.186,4.287,SSR1,ENSG00000124783.14_6
chr6,28.919,4.286,HIST1H4B,ENSG00000124529.3
chr17,20.683,4.285,USP22,ENSG00000124422.12_6
chr9,12.188,4.285,NRARP,ENSG00000198435.4_4
chr17,8.553,4.282,PAFAH1B1,ENSG00000007168.13_4
chr15,3.609,4.279,BNIP2,ENSG00000140299.12_6
chr10,5.446,4.279,ENTPD7,ENSG00000198018.7_4
chr2,4.985,4.279,,
chr10,6.607,4.279,GTPBP4,ENSG00000107937.19_3
chr7,4.168,4.277,DNAJB6,ENSG00000105993.15_6
chr11,4.923,4.277,ATL3,ENSG00000184743.13_5
chr14,18.356,4.276,BTBD7,ENSG00000011114.15_7
chr21,10.428,4.276,PTTG1IP,ENSG00000183255.12_5
chr19,39.709,4.273,RPS16,ENSG00000105193.9_4
chr11,5.967,4.272,MTRNR2L8,ENSG00000255823.5_4
chr1,9.938,4.272,FBXO28,ENSG00000143756.12_3
chr2,15.179,4.271,FAM168B,ENSG00000152102.18_4
chr6,31.661,4.269,H4C4,ENSG00000277157.1_3
chr19,22.195,4.268,HNRNPUL1,ENSG00000105323.17_5
chr2,3.346,4.266,RMND5A,ENSG00000153561.13_3
chr12,18.294,4.264,CCT2,ENSG00000166226.13_3
chr1,8.231,4.263,EFHD2,ENSG00000142634.13_3
chr16,7.52,4.263,CYB5B,ENSG00000103018.17_6
chr11,10.445,4.261,STT3A,ENSG00000134910.14_6
chr16,5.967,4.261,CREBBP,ENSG00000005339.15_8
chr17,18.111,4.259,SRSF1,ENSG00000136450.13_6
chr9,3.872,4.258,FNBP1,ENSG00000187239.17_5
chr16,4.923,4.258,PHKB,ENSG00000102893.16_6
chr15,13.715,4.255,UBE3A,ENSG00000114062.20_8
chr20,6.227,4.253,BLCAP,ENSG00000166619.15_8
chr9,6.16,4.25,CAMSAP1,ENSG00000130559.19_4
chr13,14.235,4.25,IRS2,ENSG00000185950.9_4
chr11,4.398,4.247,QSER1,ENSG00000060749.15_4
chr1,5.707,4.245,DESI2,ENSG00000121644.19_3
chr6,17.305,4.245,ADCY10P1,ENSG00000161912.18_4
chr4,7.52,4.245,SMARCA5,ENSG00000153147.6_3
chr19,22.886,4.245,AC011447.1|ZNF90,ENSG00000213988.11_4||ENSG00000224864.4_5
chr11,12.472,4.244,RBM14,ENSG00000239306.4_3
chr2,22.513,4.243,GORASP2,ENSG00000115806.13_3
chr16,16.07,4.242,CNOT1,ENSG00000125107.18_5
chr22,19.966,4.24,EIF3L,ENSG00000100129.18_7
chr15,6.486,4.239,ST20-AS1,ENSG00000259642.2_6
chr2,6.208,4.239,CUL3,ENSG00000036257.13_5
chr6,19.833,4.237,SOX4,ENSG00000124766.7_4
chr4,16.842,4.235,,
chr14,5.185,4.229,PELI2,ENSG00000139946.10_3
chr17,6.978,4.229,HELZ,ENSG00000198265.12_6
chr6,31.002,4.228,H4C5,ENSG00000276966.2_3
chr8,32.764,4.227,ZNF703,ENSG00000183779.7_3
chr3,8.823,4.226,ARL6IP5,ENSG00000144746.7_3
chr1,4.661,4.226,CAPZA1,ENSG00000116489.13_3
chr16,15.244,4.226,USP7,ENSG00000187555.16_7
chr6,7.887,4.226,AL590867.2,ENSG00000218426.5_5
chr5,3.872,4.226,CDC23,ENSG00000094880.11_6
chr1,8.612,4.224,FBXO28,ENSG00000143756.12_3
chr21,9.186,4.223,RRP1B,ENSG00000160208.13_3
chr18,3.609,4.219,VAPA,ENSG00000101558.13_5
chr4,7.617,4.219,SETD7,ENSG00000145391.13_4
chr8,15.546,4.219,RPL30,ENSG00000156482.11_4
chr8,8.066,4.219,ZNF704,ENSG00000164684.13_5
chr1,11.496,4.218,NDC1,ENSG00000058804.12_4
chr18,5.446,4.216,MEX3C,ENSG00000176624.11_5
