Chromosome,-log10(P-value),Log2 Fold Change,Gene,Ensembl ID
chr20,44.57,4.439,RPS21,ENSG00000171858.18_3
chr2,11.298,4.439,MOGS,ENSG00000115275.13_7
chr8,3.394,4.431,SLC7A2,ENSG00000003989.17_6
chr11,7.099,4.429,YIF1A,ENSG00000174851.16_5
chr17,13.892,4.427,SRSF2,ENSG00000161547.16_4
chr5,5.87,4.426,MGAT1,ENSG00000131446.16_7
chr6,18.997,4.424,TXNDC5,ENSG00000239264.9_5
chr11,10.428,4.424,ALG8,ENSG00000159063.13_6
chr11,31.491,4.419,RPS3,ENSG00000149273.15_4
chr17,14.646,4.418,USP22,ENSG00000124422.12_6
chr6,16.046,4.417,TXNDC5,ENSG00000239264.9_5
chr6,11.485,4.416,H4C8,ENSG00000158406.4_4
chr11,8.679,4.415,B4GAT1,ENSG00000174684.7_4
chr5,12.903,4.414,RNF145,ENSG00000145860.11_5
chr3,20.411,4.413,SUSD5,ENSG00000173705.9_6
chr9,18.358,4.41,SURF4,ENSG00000148248.14_4
chr9,3.952,4.404,,
chr22,6.27,4.402,NF2,ENSG00000186575.18_4
chr8,9.281,4.396,SLC39A14,ENSG00000104635.14_6
chr15,11.621,4.387,IGF1R,ENSG00000140443.15_6
chr1,7.543,4.385,PARP1,ENSG00000143799.13_4
chrX,22.537,4.379,RPL39,ENSG00000198918.8_4
chr5,7.985,4.378,SLC1A3,ENSG00000079215.14_4
chr17,12.66,4.378,SYNGR2,ENSG00000108639.7_5
chr3,13.101,4.372,TFRC,ENSG00000072274.13_5
chr1,20.768,4.369,MRPL37,ENSG00000116221.15_2
chr9,7.841,4.367,RORB,ENSG00000198963.11_3
chr14,17.217,4.366,SEL1L,ENSG00000071537.14_5
chr8,19.407,4.366,RPL30,ENSG00000156482.11_4
chr16,10.474,4.364,SLC7A5,ENSG00000103257.9_4
chr15,13.52,4.363,SCAMP2,ENSG00000140497.16_5
chr16,4.518,4.359,METTL9,ENSG00000197006.14_4
chr11,12.497,4.359,GANAB,ENSG00000089597.18_5
chr16,5.703,4.359,FBRS,ENSG00000156860.16_8
chr22,5.35,4.355,MAPK1,ENSG00000100030.14_3
chr22,57.156,4.355,MIF|AP000350.4,ENSG00000240972.2_5||ENSG00000251357.4_6
chr2,6.412,4.355,ATRAID,ENSG00000138085.16_7
chrM,24.616,4.351,MT-RNR2,ENSG00000210082.2
chr9,19.613,4.35,SURF4,ENSG00000148248.14_4
chr11,3.607,4.346,AAMDC,ENSG00000087884.14_6
chr6,3.607,4.346,TUBB2B,ENSG00000137285.10_4
chr1,4.263,4.346,RPS13P2,ENSG00000228929.1_4
chr20,4.299,4.346,SLC23A2,ENSG00000089057.15_6
chr1,15.104,4.341,DEGS1,ENSG00000143753.13_4
chr5,4.648,4.333,MGAT1,ENSG00000131446.16_7
chr7,3.682,4.333,MALSU1,ENSG00000156928.5_3
chr10,53.94,4.33,SCD,ENSG00000099194.6_3
chr16,8.897,4.326,INO80E,ENSG00000169592.15_6
chr6,25.575,4.325,H4C3,ENSG00000197061.4_3
chr5,56.861,4.324,HNRNPAB,ENSG00000197451.12_4
chr6,37.996,4.322,H4C4,ENSG00000277157.1_3
chr12,5.703,4.32,PDE3A,ENSG00000172572.6_3
chr2,3.394,4.316,SLC5A6,ENSG00000138074.15_9
chr8,5.712,4.316,CTSB,ENSG00000164733.21_5
chr1,14.86,4.313,DEGS1,ENSG00000143753.13_4
chr8,18.01,4.312,RPL30,ENSG00000156482.11_4
chr3,3.619,4.311,TMEM39A,ENSG00000176142.13_5
chr2,19.594,4.309,PCYOX1,ENSG00000116005.12_6
chr15,4.504,4.304,TMEM87A,ENSG00000103978.16_5
chr9,4.648,4.3,ERP44,ENSG00000023318.8_5
chr7,7.323,4.3,DPY19L1,ENSG00000173852.14_5
chr11,7.639,4.293,PRCP,ENSG00000137509.11_7
chr6,17.828,4.28,TXNDC5,ENSG00000239264.9_5
chrX,5.35,4.279,ATP6AP2,ENSG00000182220.15_8
chr11,22.631,4.274,STT3A,ENSG00000134910.14_6
chr19,30.203,4.268,KDELR1,ENSG00000105438.9_5
chr8,11.967,4.266,GGH,ENSG00000137563.12_4
chr20,9.475,4.265,APMAP,ENSG00000101474.12_5
chr19,10.933,4.259,AC008878.3|ARHGEF18,ENSG00000268861.7_7||ENSG00000104880.18_4
chr5,62.133,4.255,RACK1,ENSG00000204628.12_7
chr20,7.639,4.252,RPL37P1,ENSG00000227401.1_2
chr11,4.299,4.25,SRPRA,ENSG00000182934.12_5
chr1,10.809,4.248,RCC2,ENSG00000179051.14_5
chr10,18.418,4.247,TM9SF3,ENSG00000077147.16_7
chr8,9.225,4.244,EXTL3,ENSG00000012232.9_3
chr8,60.161,4.242,RPL30,ENSG00000156482.11_4
chr16,20.209,4.24,GDE1,ENSG00000006007.12_4
chr22,70.945,4.239,AP000350.4|MIF,ENSG00000251357.4_6||ENSG00000240972.2_5
chr1,9.726,4.235,H2AW,ENSG00000181218.5_3
chr10,3.04,4.235,LIPA,ENSG00000107798.18_5
chr6,17.924,4.235,AL031777.2|H2AC7,ENSG00000282988.2_6||ENSG00000196866.2_4
chr8,3.607,4.235,,
chr16,11.839,4.234,SF3B3,ENSG00000189091.13_5
chr19,16.349,4.234,FTL,ENSG00000087086.15_4
chr20,17.539,4.232,APMAP,ENSG00000101474.12_5
chr2,6.27,4.23,FAM168B,ENSG00000152102.18_4
chr16,7.765,4.228,UBFD1,ENSG00000103353.16_5
chr1,46.913,4.228,DDOST,ENSG00000244038.9_6
chr8,12.313,4.225,MTDH,ENSG00000147649.10_5
chr22,49.248,4.223,MIF|AP000350.4,ENSG00000240972.2_5||ENSG00000251357.4_6
chr22,10.809,4.215,CBX6,ENSG00000183741.12_4
chr18,6.952,4.215,NPC1,ENSG00000141458.13_5
chr19,8.212,4.215,SGTA,ENSG00000104969.10_5
chr8,6.057,4.211,RPL34P18,ENSG00000240509.1_4
chr14,14.548,4.209,RDH11,ENSG00000072042.13_6
chr6,7.483,4.204,H3C7,ENSG00000277775.1_3
chr2,6.952,4.204,ANTXR1,ENSG00000169604.19_3
chr17,34.896,4.202,ACTG1,ENSG00000184009.12_8
chr16,12.788,4.201,MT2A,ENSG00000125148.7_3
chr1,3.105,4.197,,
chr17,3.952,4.197,LRRC59,ENSG00000108829.10_5
chr3,5.35,4.194,GLB1,ENSG00000170266.16_5
chr19,58.041,4.19,RPS16,ENSG00000105193.9_4
chr14,4.648,4.189,COCH,ENSG00000100473.18_5
chr11,9.846,4.185,FEN1,ENSG00000168496.4_4
chr12,8.549,4.185,TUBA1C,ENSG00000167553.15_3
chr13,4.299,4.178,UBAC2,ENSG00000134882.16_6
chr11,4.516,4.178,TUBAP2,ENSG00000214391.3_4
chr4,4.516,4.178,HTT,ENSG00000197386.12_8
chr15,44.994,4.174,HACD3,ENSG00000074696.13_4
chr14,9.89,4.172,PSEN1,ENSG00000080815.19_6
chr11,3.264,4.172,RPLP0P2,ENSG00000243742.5_2
chr11,3.264,4.172,RPLP0P2,ENSG00000243742.5_2
chr3,5.931,4.168,SELENOT,ENSG00000198843.13_7
chr3,22.535,4.166,SRPRB,ENSG00000144867.12_5
chrX,25.487,4.164,ATP6AP1,ENSG00000071553.17_5
chr2,7.211,4.164,LCLAT1,ENSG00000172954.13_4
chr8,11.839,4.163,LAPTM4B,ENSG00000104341.17_5
chr16,6.879,4.161,CREBBP,ENSG00000005339.15_8
chrX,11.679,4.161,ATP6AP1,ENSG00000071553.17_5
chr12,14.333,4.161,RPS2P5,ENSG00000240342.3_4
chr9,5.593,4.161,LRRC8A,ENSG00000136802.11_2
chr19,6.057,4.157,MIDN,ENSG00000167470.12_4
chr18,35.211,4.155,RPL6P27,ENSG00000235552.4_5
chr18,35.211,4.155,RPL6P27,ENSG00000235552.4_5
chr18,35.211,4.155,RPL6P27,ENSG00000235552.4_5
chr17,4.998,4.15,DERL2,ENSG00000072849.11_5
chr3,18.997,4.148,CTNNB1,ENSG00000168036.18_8
chr3,4.592,4.147,PPM1L,ENSG00000163590.14_3
chr6,28.474,4.146,TXNDC5,ENSG00000239264.9_5
chr15,19.005,4.145,HACD3,ENSG00000074696.13_4
chr14,22.01,4.144,RPS29,ENSG00000213741.10_6
chr12,12.082,4.143,ESYT1,ENSG00000139641.12_3
chr15,11.609,4.14,SCAMP2,ENSG00000140497.16_5
chr10,11.132,4.139,LIPA,ENSG00000107798.18_5
chr19,16.37,4.139,ARHGEF18|AC008878.3,ENSG00000268861.7_7||ENSG00000104880.18_4
chr5,11.967,4.133,MFAP3,ENSG00000037749.12_4
chr11,63.301,4.133,AC024293.1,ENSG00000244313.3_5
chr3,29.336,4.131,CTNNB1,ENSG00000168036.18_8
chr1,15.787,4.131,NDC1,ENSG00000058804.12_4
chr1,5.35,4.131,SLC2A1,ENSG00000117394.23_7
chr5,8.677,4.128,HNRNPA0,ENSG00000177733.7_4
chr1,21.356,4.128,CLSTN1,ENSG00000171603.18_4
chr1,8.677,4.128,DDOST,ENSG00000244038.9_6
chr10,11.482,4.127,LIPA,ENSG00000107798.18_5
chr3,12.837,4.125,CRTAP,ENSG00000170275.15_4
chr6,11.145,4.121,H4C8,ENSG00000158406.4_4
chr6,30.476,4.118,H4C3,ENSG00000197061.4_3
chr1,9.565,4.118,DEGS1,ENSG00000143753.13_4
chr11,6.295,4.117,DHCR7,ENSG00000172893.15_6
chr3,4.924,4.113,ZDHHC3,ENSG00000163812.15_6
chr15,8.331,4.106,B2M,ENSG00000166710.20_5
chr17,9.807,4.105,PRPF8,ENSG00000174231.17_5
chr11,4.263,4.104,PRCP,ENSG00000137509.11_7
chr2,4.648,4.104,POLR1A,ENSG00000068654.16_5
chr14,4.648,4.104,PSMA6,ENSG00000100902.11_6
chr1,4.648,4.104,TIMM17A,ENSG00000134375.11_3
chrX,12.497,4.099,PRDX4,ENSG00000123131.13_3
chr17,4.299,4.098,CANT1,ENSG00000171302.17_7
chr1,16.079,4.098,RBM8A,ENSG00000265241.6_5
chr1,51.883,4.097,ATP1A1,ENSG00000163399.16_4
chr2,6.057,4.096,CHPF,ENSG00000123989.14_5
chr6,18.439,4.095,AL139095.2,ENSG00000220472.1_5
chr19,14.591,4.094,COLGALT1,ENSG00000130309.11_7
chr19,16.079,4.091,COLGALT1,ENSG00000130309.11_7
chr14,16.662,4.084,DAD1,ENSG00000129562.11_4
chr6,18.439,4.081,AL139095.2,ENSG00000220472.1_5
chr6,37.669,4.079,TXNDC5,ENSG00000239264.9_5
chr3,25.487,4.079,SRPRB,ENSG00000144867.12_5
chr8,4.955,4.076,MRPL15,ENSG00000137547.9_6
chr8,25.479,4.075,RPS20,ENSG00000008988.9_3
chr12,5.593,4.073,STRAP,ENSG00000023734.11_4
chr1,12.308,4.072,CNIH4,ENSG00000143771.12_4
chr10,4.217,4.067,MINPP1,ENSG00000107789.16_3
chr19,5.441,4.067,UBL5,ENSG00000198258.10_2
chr14,6.649,4.064,NPC2,ENSG00000119655.10_5
chr1,15.926,4.063,TMEM50A,ENSG00000183726.11_3
chr1,9.6,4.059,CERS2,ENSG00000143418.19_6
chr10,31.369,4.057,TM9SF3,ENSG00000077147.16_7
chr4,4.648,4.057,TECRP2,ENSG00000248565.2_5
chr11,5.35,4.055,EXT2,ENSG00000151348.14_4
chr9,4.299,4.054,TOR1B,ENSG00000136816.16_3
chr8,7.804,4.054,SLC39A14,ENSG00000104635.14_6
chr22,8.309,4.05,CYB5R3,ENSG00000100243.21_5
chr11,6.295,4.048,DHCR7,ENSG00000172893.15_6
chr6,10.589,4.047,SOX4,ENSG00000124766.7_4
chr19,30.362,4.045,COLGALT1,ENSG00000130309.11_7
chr1,10.428,4.044,AL450998.1,ENSG00000178715.8_5
chr16,5.35,4.044,ALG1,ENSG00000033011.12_5
chr5,22.24,4.042,LPCAT1,ENSG00000153395.10_4
chr16,3.323,4.041,GSPT1,ENSG00000103342.13_6
chr13,7.732,4.041,TM9SF2,ENSG00000125304.10_5
chr1,3.264,4.041,AL451081.2,ENSG00000232883.1_5
chr7,10.336,4.041,KDELR2,ENSG00000136240.10_5
chr12,9.225,4.041,CDK2AP1,ENSG00000111328.7_8
chr1,6.362,4.041,BTF3L4,ENSG00000134717.18_4
chr17,6.787,4.041,CPD,ENSG00000108582.12_7
chr5,12.66,4.04,GRK6,ENSG00000198055.11_5
chr3,8.01,4.036,ATP13A3,ENSG00000133657.15_6
chr15,5.257,4.036,SCAMP2,ENSG00000140497.16_5
chr6,9.662,4.036,AL590867.2,ENSG00000218426.5_5
chr11,6.057,4.036,CAPRIN1,ENSG00000135387.21_4
chr13,8.331,4.031,ALG5,ENSG00000120697.9_5
chr6,55.192,4.03,H4C5,ENSG00000276966.2_3
chr1,10.428,4.03,PTPRF,ENSG00000142949.17_4
chr16,6.295,4.03,HERPUD1,ENSG00000051108.15_7
chr1,3.182,4.028,B4GALT3,ENSG00000158850.15_4
chr9,3.182,4.028,EGFL7,ENSG00000172889.16_5
chr10,3.607,4.028,CCNY,ENSG00000108100.18_3
chr2,5.703,4.028,HADHB,ENSG00000138029.14_4
chr9,14.865,4.024,GCNT1,ENSG00000187210.14_5
chr11,18.72,4.023,GANAB,ENSG00000089597.18_5
chr15,14.267,4.022,SEC11A,ENSG00000140612.14_4
chr3,11.277,4.015,SLC33A1,ENSG00000169359.16_7
chr20,7.226,4.011,SLC23A2,ENSG00000089057.15_6
chrX,10.247,4.011,ATP6AP1,ENSG00000071553.17_5
chr19,13.379,4.007,KDELR1,ENSG00000105438.9_5
chr5,4.653,4.007,SLC12A2,ENSG00000064651.14_4
chr8,3.682,4.007,EXTL3,ENSG00000012232.9_3
chr10,39.872,4.007,SCD,ENSG00000099194.6_3
chr8,4.516,4.007,ERLIN2,ENSG00000147475.17_6
chr1,26.953,4.006,SLC16A1,ENSG00000155380.11_8
chr11,10.236,4.006,JAM3,ENSG00000166086.13_4
chr1,9.376,4.001,CREG1,ENSG00000143162.9_5
chr22,6.005,4.0,FOXRED2,ENSG00000100350.14_4
chr20,31.098,4.0,RPS21,ENSG00000171858.18_3
chr12,14.333,4.0,RPS2P5,ENSG00000240342.3_4
chr9,8.01,4.0,AL161787.1,ENSG00000219928.2_5
chr5,7.211,3.997,,
chr15,19.417,3.996,NPTN,ENSG00000156642.17_5
chr17,14.269,3.992,SNHG16,ENSG00000163597.15_3
chr11,6.295,3.992,SERPINH1,ENSG00000149257.14_6
chr19,33.721,3.992,BSG,ENSG00000172270.20_6
chr1,44.867,3.99,ATP1A1,ENSG00000163399.16_4
chr5,400.0,3.987,RACK1,ENSG00000204628.12_7
chr19,7.515,3.986,ELAVL1,ENSG00000066044.15_5
chr8,7.017,3.986,SLC7A2,ENSG00000003989.17_6
chr22,76.471,3.986,MIF,ENSG00000240972.2_5
chr19,3.607,3.986,AD000090.1,ENSG00000283907.1_5
chr11,16.158,3.986,GANAB,ENSG00000089597.18_5
chrX,16.339,3.985,GLA,ENSG00000102393.11_4
chr1,10.471,3.983,IARS2,ENSG00000067704.10_3
chr12,3.394,3.983,SLC15A4,ENSG00000139370.12_5
chr12,5.117,3.983,BCL7A,ENSG00000110987.8_2
chr20,14.669,3.982,RPS15AP1,ENSG00000214535.3_2
chr17,5.257,3.982,C1QBP,ENSG00000108561.8_5
chr6,9.6,3.974,MTCH1,ENSG00000137409.19_7
chr1,6.412,3.972,MPZL1,ENSG00000197965.12_5
chr11,4.308,3.972,PPP1CA,ENSG00000172531.15_6
chr13,7.295,3.972,STK24,ENSG00000102572.14_5
chr2,5.614,3.972,SLC35F6,ENSG00000213699.9_4
chr10,10.873,3.971,OAT,ENSG00000065154.12_3
chr19,12.222,3.97,COLGALT1,ENSG00000130309.11_7
chr4,5.931,3.97,RPS21P4,ENSG00000242358.1_4
chr20,5.257,3.97,POFUT1,ENSG00000101346.14_4
chr22,8.968,3.968,SPECC1L,ENSG00000100014.20_6
chr19,13.748,3.965,COLGALT1,ENSG00000130309.11_7
chr17,7.211,3.965,KPNA2,ENSG00000182481.9_4
chr20,23.427,3.963,SNRPB,ENSG00000125835.18_5
chr3,18.408,3.962,CTNNB1,ENSG00000168036.18_8
chr11,4.299,3.958,JAM3,ENSG00000166086.13_4
chr12,7.804,3.958,LEMD3,ENSG00000174106.3_4
chr1,21.077,3.957,AL365357.1,ENSG00000213058.3_5
chr20,4.801,3.955,SLC23A2,ENSG00000089057.15_6
chr21,16.983,3.954,APP,ENSG00000142192.21_7
chr5,6.787,3.954,AC113367.1,ENSG00000244192.1_5
chr19,15.749,3.953,LMNB2,ENSG00000176619.13_6
chr21,7.226,3.949,HSPA13,ENSG00000155304.6_4
chr17,23.42,3.948,USP22,ENSG00000124422.12_6
chr1,9.565,3.945,NOTCH2,ENSG00000134250.20_5
chr10,6.649,3.943,BLOC1S2,ENSG00000196072.12_6
chr3,9.726,3.943,ATP2C1,ENSG00000017260.19_7
chr7,3.619,3.943,DPY19L1,ENSG00000173852.14_5
chr1,24.979,3.942,UQCRH,ENSG00000173660.12_3
chr15,26.363,3.941,TSPAN3,ENSG00000140391.15_5
chr6,14.089,3.939,AL590867.2,ENSG00000218426.5_5
chr16,9.807,3.939,INO80E,ENSG00000169592.15_6
chr11,38.415,3.936,RPS28P7,ENSG00000227097.5_4
chr22,400.0,3.932,MIF|AP000350.4,ENSG00000251357.4_6||ENSG00000240972.2_5
chr1,5.931,3.931,MPZL1,ENSG00000197965.12_5
chr17,29.888,3.927,ACTG1,ENSG00000184009.12_8
chr3,9.734,3.927,LRIG1,ENSG00000144749.13_4
chr17,35.84,3.927,P4HB,ENSG00000185624.15_4
chr3,3.682,3.926,MRPL3,ENSG00000114686.9_5
chr1,17.247,3.925,GNG5,ENSG00000174021.11_5
chr12,3.305,3.924,SLC6A15,ENSG00000072041.17_5
chr18,3.264,3.924,MAPRE2,ENSG00000166974.13_6
chr15,8.095,3.924,ABHD2,ENSG00000140526.18_4
chr18,3.264,3.924,MOCOS,ENSG00000075643.6_4
chr1,9.225,3.924,PRDX6,ENSG00000117592.9_3
chr15,4.299,3.922,SCAMP2,ENSG00000140497.16_5
chr8,4.818,3.922,SLC7A2,ENSG00000003989.17_6
