Chromosome,-log10(P-value),Log2 Fold Change,Gene,Ensembl ID
chr7,3.964,3.944,ABCA13,ENSG00000179869.15_5
chr18,5.527,3.944,,
chr6,5.053,3.934,TXNDC5,ENSG00000239264.9_5
chr16,4.095,3.89,,
chr19,24.419,3.875,CIRBP,ENSG00000099622.14_7
chr1,9.016,3.858,DHCR24,ENSG00000116133.13_5
chr6,3.964,3.843,FO393415.1,ENSG00000175967.4_7
chr7,6.162,3.837,hsa-mir-3654,MI0016054
chr18,4.013,3.837,SLC39A6,ENSG00000141424.13_6
chr8,4.391,3.837,MTDH,ENSG00000147649.10_5
chr11,33.513,3.828,SNORD15B,ENSG00000207445.1
chr1,5.448,3.825,DHCR24,ENSG00000116133.13_5
chr1,6.725,3.823,ARF1,ENSG00000143761.16_4
chr5,7.292,3.811,LPCAT1,ENSG00000153395.10_4
chr1,3.313,3.806,MRPL37,ENSG00000116221.15_2
chr20,45.136,3.801,ZFAS1|SNORD12B,ENSG00000222365.1||ENSG00000177410.13_6
chrX,3.057,3.797,SYP-AS1,ENSG00000237341.1_6
chr21,6.202,3.781,TTC3,ENSG00000182670.13_3
chr1,3.533,3.781,,
chr11,14.909,3.781,SNORD15B,ENSG00000207445.1
chr15,10.903,3.771,HACD3,ENSG00000074696.13_4
chr1,21.754,3.744,SNORD45C,ENSG00000206620.1
chr3,4.462,3.726,RHOA,ENSG00000067560.12_6
chr9,5.605,3.72,SNORD90,ENSG00000212447.1
chr17,3.529,3.718,IGF2BP1,ENSG00000159217.10_4
chr3,40.083,3.713,SNORD2,ENSG00000238942.1
chr5,7.862,3.71,,
chr5,7.862,3.71,,
chr19,6.274,3.706,BICRA,ENSG00000063169.10_6
chr9,3.869,3.705,SURF4,ENSG00000148248.14_4
chr19,9.59,3.705,PTBP1,ENSG00000011304.20_7
chr10,12.312,3.705,SNORD98,ENSG00000221182.1
chr19,34.246,3.702,RPS19,ENSG00000105372.8_6
chr1,3.507,3.697,APH1A,ENSG00000117362.13_6
chr16,4.185,3.696,DNAJA3,ENSG00000103423.14_4
chr11,10.234,3.696,FAU,ENSG00000149806.11_5
chr15,32.451,3.684,RPL4|SNORD18C,ENSG00000199574.1||ENSG00000174444.15_5
chr7,5.448,3.683,RNY1,ENSG00000201098.1
chr5,19.928,3.678,RACK1,ENSG00000204628.12_7
chr8,10.876,3.677,RPS20|SNORD54,ENSG00000008988.9_3||ENSG00000238650.1
chr2,4.143,3.675,STARD7,ENSG00000084090.13_6
chr16,4.418,3.675,RNPS1,ENSG00000205937.12_8
chr1,3.425,3.675,ATP1A1,ENSG00000163399.16_4
chr19,6.045,3.672,BICRA,ENSG00000063169.10_6
chr1,3.676,3.671,ATP6V0B,ENSG00000117410.14_4
chr10,3.676,3.671,ALDH18A1,ENSG00000059573.9_4
chr3,9.799,3.663,RPN1,ENSG00000163902.12_5
chr6,31.1,3.663,SNORD101,ENSG00000206754.1
chr2,5.281,3.647,CDK5R2,ENSG00000171450.6_3
chr2,3.507,3.644,RPLP0P6,ENSG00000213553.4_4
chr15,3.596,3.63,SEC11A,ENSG00000140612.14_4
chr6,5.053,3.62,ADCY10P1,ENSG00000161912.18_4
chr4,4.462,3.618,SLC30A9,ENSG00000014824.14_4
chr19,4.694,3.616,AC008878.3|ARHGEF18,ENSG00000104880.18_4||ENSG00000268861.7_7
chr8,27.309,3.613,RPS20|SNORD54,ENSG00000008988.9_3||ENSG00000238650.1
chr1,18.52,3.61,SNORD46,ENSG00000200913.1
chr6,6.369,3.607,H2AC11,ENSG00000196787.3_3
chr18,4.367,3.605,ATP9B,ENSG00000166377.20_6
chr6,11.067,3.605,H4C5,ENSG00000276966.2_3
chr14,4.143,3.599,TMED10,ENSG00000170348.9_4
chr17,11.109,3.595,SNORD1B,ENSG00000199961.1
chr6,26.188,3.595,SNORD101,ENSG00000206754.1
chr20,12.124,3.586,ZFAS1|SNORD12,ENSG00000212304.1||ENSG00000177410.13_6
chr16,4.804,3.586,MT2A,ENSG00000125148.7_3
chr6,5.931,3.581,TCP1,ENSG00000120438.12_5
chr19,45.293,3.581,SNORD34,ENSG00000202503.1
chr17,7.938,3.58,SNORD1B,ENSG00000199961.1
chr17,6.029,3.573,CLTC,ENSG00000141367.12_5
chr1,15.903,3.569,SNORD46,ENSG00000200913.1
chrX,29.105,3.567,SNORA69|RPL39,ENSG00000198918.8_4||ENSG00000206622.1
chr17,7.388,3.559,P4HB,ENSG00000185624.15_4
chr11,20.163,3.556,SNORA23,ENSG00000201998.1
chr8,33.921,3.554,RPS20|SNORD54,ENSG00000008988.9_3||ENSG00000238650.1
chr17,3.219,3.551,SYNGR2,ENSG00000108639.7_5
chr11,3.507,3.545,NDUFC2|NDUFC2-KCTD14,ENSG00000259112.2_4||ENSG00000151366.13_6
chr16,3.596,3.545,MCRIP2,ENSG00000172366.20_6
chr19,5.15,3.543,ARHGEF18|AC008878.3,ENSG00000268861.7_7||ENSG00000104880.18_4
chrY,4.233,3.533,USP9Y,ENSG00000114374.13_4
chrY,4.233,3.533,USP9Y,ENSG00000114374.13_4
chr1,5.883,3.533,,
chr11,27.588,3.52,SNORA23,ENSG00000201998.1
chr11,13.85,3.52,RPS13|SNORD14B,ENSG00000201403.1||ENSG00000110700.7_5
chr1,6.691,3.519,ATP1A1,ENSG00000163399.16_4
chr5,16.229,3.518,HNRNPA0,ENSG00000177733.7_4
chr20,12.551,3.51,SNORD12C,ENSG00000209042.1
chr18,400.0,3.508,RPL17,ENSG00000265681.7_7
chr19,7.114,3.491,PTBP1,ENSG00000011304.20_7
chr1,3.215,3.491,P3H1,ENSG00000117385.16_4
chr6,3.507,3.49,SNX3,ENSG00000112335.15_4
chr12,6.298,3.478,TMBIM6,ENSG00000139644.13_8
chr11,5.605,3.477,SNORD14B|RPS13,ENSG00000110700.7_5||ENSG00000201403.1
chr16,3.869,3.475,,
chr5,4.095,3.475,RNF130,ENSG00000113269.14_6
chr15,13.823,3.473,SNORD18A|RPL4,ENSG00000200623.1||ENSG00000174444.15_5
chr2,3.36,3.469,LAPTM4A,ENSG00000068697.7_4
chr12,4.068,3.462,TMBIM6,ENSG00000139644.13_8
chr13,9.048,3.455,SNORD102,ENSG00000207500.1
chr6,11.998,3.45,H4C8,ENSG00000158406.4_4
chrX,3.215,3.448,SSR4,ENSG00000180879.14_4
chr9,4.887,3.444,ASS1,ENSG00000130707.18_3
chr3,5.347,3.437,SNORD19B,ENSG00000252787.1
chr4,3.661,3.436,CLCN3,ENSG00000109572.14_7
chr8,3.238,3.434,MTDH,ENSG00000147649.10_5
chr22,23.243,3.433,RPL3,ENSG00000100316.16_6
chr1,27.638,3.433,RNU5F-1,ENSG00000199377.1
chr1,27.638,3.433,RNU5F-1,ENSG00000199377.1
chr19,9.529,3.43,RPL18,ENSG00000063177.13_6
chr11,3.057,3.428,SERPINH1,ENSG00000149257.14_6
chr4,5.448,3.428,TMEM33,ENSG00000109133.13_3
chr8,27.556,3.422,RPS20|SNORD54,ENSG00000238650.1||ENSG00000008988.9_3
chr3,7.663,3.419,ROBO1,ENSG00000169855.20_4
chr10,5.261,3.419,,
chr11,11.386,3.417,SCARNA9,ENSG00000254911.3_6
chr3,5.589,3.413,SNORD19B,ENSG00000252787.1
chr6,4.462,3.403,VEGFA,ENSG00000112715.23_10
chr2,9.095,3.395,SNORD11B,ENSG00000271852.1
chr10,4.725,3.39,PSAP,ENSG00000197746.14_5
chr11,18.781,3.39,SNORD14B|RPS13,ENSG00000201403.1||ENSG00000110700.7_5
chr11,3.326,3.39,MTRNR2L8,ENSG00000255823.5_4
chr3,26.948,3.386,SNORD66,ENSG00000212158.1
chr17,18.121,3.386,RPL23A,ENSG00000198242.14_3
chr19,4.887,3.379,FBL,ENSG00000105202.9_8
chr18,65.63,3.377,RPL17,ENSG00000265681.7_7
chr1,29.656,3.374,GAS5,ENSG00000234741.8_8
chr15,9.806,3.373,SNORD18B|RPL4,ENSG00000202529.1||ENSG00000174444.15_5
chr1,5.249,3.368,PTPRF,ENSG00000142949.17_4
chr2,3.661,3.364,,
chr6,13.69,3.355,SNORD101,ENSG00000206754.1
chr1,3.293,3.348,CLSTN1,ENSG00000171603.18_4
chr5,4.155,3.343,,
chr17,11.309,3.342,EIF5A,ENSG00000132507.18_3
chr1,8.724,3.341,SLC16A1,ENSG00000155380.11_8
chr11,12.598,3.338,APLP2,ENSG00000084234.17_5
chr15,3.507,3.337,FEM1B,ENSG00000169018.6_3
chr11,3.596,3.337,MTRNR2L8,ENSG00000255823.5_4
chr15,18.107,3.327,RPL4|SNORD18C,ENSG00000174444.15_5||ENSG00000199574.1
chr5,4.155,3.319,,
chr9,3.238,3.317,SNORD90,ENSG00000212447.1
chr1,7.114,3.311,SNORD85,ENSG00000200181.1
chr5,3.228,3.306,LPCAT1,ENSG00000153395.10_4
chr8,9.206,3.304,TUSC3,ENSG00000104723.21_4
chr19,3.243,3.297,FTL,ENSG00000087086.15_4
chr1,18.396,3.294,GAS5|SNORD78,ENSG00000208317.1||ENSG00000234741.8_8
chr12,8.592,3.294,NCAPD2,ENSG00000010292.13_4
chr12,7.196,3.294,TMBIM6,ENSG00000139644.13_8
chr6,19.358,3.291,SNORD48,ENSG00000201823.1
chr2,4.251,3.281,PCYOX1,ENSG00000116005.12_6
chr19,22.544,3.274,SNORD88C|C19orf48,ENSG00000220988.1||ENSG00000167747.14_6
chr2,7.45,3.273,SNORD51,ENSG00000207047.2
chr11,3.36,3.271,EEF1G,ENSG00000254772.10_5
chr2,4.658,3.269,DNAJC10,ENSG00000077232.18_6
chrX,3.313,3.267,GLA,ENSG00000102393.11_4
chr21,5.437,3.267,ATP5PO,ENSG00000241837.7_6
chr17,64.473,3.267,SNORD10,ENSG00000238917.1
chr2,4.443,3.267,MOGS,ENSG00000115275.13_7
chr8,3.869,3.267,IMPAD1,ENSG00000104331.9_6
chr12,9.095,3.267,TUBA1B,ENSG00000123416.15_7
chr3,3.481,3.265,RPL4P4,ENSG00000229638.1_4
chr16,4.122,3.259,ARL6IP1,ENSG00000170540.15_5
chr19,10.876,3.236,RPS19,ENSG00000105372.8_6
chr15,68.076,3.234,SNORD18B|RPL4,ENSG00000202529.1||ENSG00000174444.15_5
chr11,5.215,3.234,EEF1G,ENSG00000254772.10_5
chr6,3.842,3.226,HMGA1,ENSG00000137309.20_3
chr17,3.313,3.226,FOXK2,ENSG00000141568.21_5
chr5,26.81,3.224,RACK1,ENSG00000204628.12_7
chr12,70.829,3.224,SNORA53,ENSG00000212443.1
chr3,5.053,3.222,CRTAP,ENSG00000170275.15_4
chr3,27.435,3.22,SNORD66,ENSG00000212158.1
chr19,37.083,3.215,SNORD88C|C19orf48,ENSG00000167747.14_6||ENSG00000220988.1
chr10,11.321,3.212,SCD,ENSG00000099194.6_3
chr15,67.894,3.21,SNORD18B|RPL4,ENSG00000174444.15_5||ENSG00000202529.1
chr13,3.977,3.203,IRS2,ENSG00000185950.9_4
chr1,5.02,3.197,GNG5,ENSG00000174021.11_5
chr17,3.842,3.196,RPTOR,ENSG00000141564.15_4
chr2,3.057,3.194,MOGS,ENSG00000115275.13_7
chr11,24.327,3.186,SNORA23,ENSG00000201998.1
chr9,6.361,3.186,MAPKAP1,ENSG00000119487.17_7
chr1,14.276,3.185,ENO1,ENSG00000074800.16_8
chr8,10.669,3.183,RPL30,ENSG00000156482.11_4
chr17,14.488,3.175,RPL23A,ENSG00000198242.14_3
chr17,12.442,3.168,ACTG1,ENSG00000184009.12_8
chr6,8.435,3.166,CD164,ENSG00000135535.17_6
chr22,4.465,3.155,TUBGCP6,ENSG00000128159.12_8
chr11,3.661,3.144,PRDX5,ENSG00000126432.14_3
chr13,14.054,3.143,SNORD102,ENSG00000207500.1
chr16,11.783,3.141,SNORD60,ENSG00000206630.1
chr19,3.596,3.141,ARHGEF18|AC008878.3,ENSG00000268861.7_7||ENSG00000104880.18_4
chr4,16.549,3.14,,
chr2,3.057,3.136,RIF1,ENSG00000080345.18_7
chr5,13.817,3.131,CANX,ENSG00000127022.15_7
chr19,8.114,3.129,LMNB2,ENSG00000176619.13_6
chr20,3.481,3.125,,
chr15,3.215,3.123,RSL24D1,ENSG00000137876.10_4
chr7,5.883,3.111,CYP51A1,ENSG00000001630.17_8
chr5,6.443,3.111,ACTBP2,ENSG00000213763.4_4
chr19,7.654,3.109,CIRBP,ENSG00000099622.14_7
chr19,21.492,3.108,SNORD35B,ENSG00000200530.1
chr5,14.945,3.107,CANX,ENSG00000127022.15_7
chr3,8.358,3.105,CDV3,ENSG00000091527.15_3
chr18,25.185,3.101,RPL17,ENSG00000265681.7_7
chr15,58.385,3.092,SNORD18B|RPL4,ENSG00000174444.15_5||ENSG00000202529.1
chr19,5.037,3.09,BSG,ENSG00000172270.20_6
chr16,3.249,3.086,GLG1,ENSG00000090863.11_4
chr4,3.293,3.086,NKX3-2,ENSG00000109705.8_4
chr4,3.293,3.086,NKX3-2,ENSG00000109705.8_4
chr19,3.228,3.086,UBL5,ENSG00000198258.10_2
chr11,9.078,3.086,FAU,ENSG00000149806.11_5
chr1,3.086,3.083,GALNT2,ENSG00000143641.10_3
chr18,13.575,3.082,SNORD58A|RPL17,ENSG00000206602.1||ENSG00000265681.7_7
chr6,3.856,3.081,AL031777.2|H2AC7,ENSG00000196866.2_4||ENSG00000282988.2_6
chr17,17.434,3.077,SNORD10,ENSG00000238917.1
chr12,400.0,3.073,SNORA53,ENSG00000212443.1
chr1,54.459,3.067,SNORD78|GAS5,ENSG00000234741.8_8||ENSG00000208317.1
chr18,28.427,3.066,RPL17,ENSG00000265681.7_7
chr12,9.969,3.063,ATP2A2,ENSG00000174437.17_5
chr20,43.953,3.061,SNORD12C,ENSG00000209042.1
chrM,49.414,3.059,MT-CO3,ENSG00000198938.2_1
chr3,3.661,3.056,CLDND1,ENSG00000080822.17_7
chr16,4.53,3.051,AC093525.2|ATP6V0C,ENSG00000260272.1_6||ENSG00000185883.12_4
chr9,3.326,3.051,SURF4,ENSG00000148248.14_4
chr5,8.875,3.051,HNRNPAB,ENSG00000197451.12_4
chrX,4.143,3.049,ATP6AP1,ENSG00000071553.17_5
chr19,5.093,3.049,AC011447.1|ZNF90,ENSG00000213988.11_4||ENSG00000224864.4_5
chr9,3.249,3.045,SEC16A,ENSG00000148396.18_5
chr8,17.343,3.04,RPL8,ENSG00000161016.17_6
chr6,6.985,3.039,CD164,ENSG00000135535.17_6
chr2,17.768,3.036,SNORD70,ENSG00000212309.1
chr16,6.061,3.033,,
chrX,29.623,3.029,SNORA69|RPL39,ENSG00000198918.8_4||ENSG00000206622.1
chr12,13.134,3.028,SLC38A2,ENSG00000134294.14_5
chr3,4.251,3.023,SEC61A1,ENSG00000058262.10_3
chr7,4.037,3.023,MCM7,ENSG00000166508.18_4
chr15,10.296,3.022,SNORA24,ENSG00000206903.1
chr17,24.218,3.022,RPS2P46,ENSG00000189343.7_4
chr9,5.41,3.022,SIGMAR1,ENSG00000147955.17_4
chr3,5.132,3.015,RPN1,ENSG00000163902.12_5
chr16,4.438,3.014,SNORD71,ENSG00000223224.1
chr12,9.038,3.014,TUBA1B,ENSG00000123416.15_7
chr3,3.869,3.01,CACNA2D3,ENSG00000157445.15_7
chr3,3.869,3.01,CACNA2D3,ENSG00000157445.15_7
chr7,3.541,3.01,CUX1,ENSG00000257923.11_6
chr18,25.735,3.001,RPL17|SNORD58C,ENSG00000202093.1||ENSG00000265681.7_7
